corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
qd,pksn.0,929,1481,THEOBALD,theobald,Ich,PPER,ich,29992,theobald,(0)
qd,pksn.0,929,1481,THEOBALD,theobald,weiß,VVFIN,weiß,29992,,
qd,pksn.0,929,1481,THEOBALD,theobald,nicht,PTKNEG,nicht,29992,,
qd,pksn.0,929,1481,THEOBALD,theobald,",","$,",--,29992,,
qd,pksn.0,929,1481,THEOBALD,theobald,was,PWS,was,29992,,
qd,pksn.0,929,1481,THEOBALD,theobald,ich,PPER,ich,29992,theobald,(0)
qd,pksn.0,929,1481,THEOBALD,theobald,tun,VVINF,tun,29992,,
qd,pksn.0,929,1481,THEOBALD,theobald,soll,VMFIN,sollen,29992,,
qd,pksn.0,929,1481,THEOBALD,theobald,.,$.,--,29992,,
qd,pksn.0,929,1481,THEOBALD,theobald,Zertret,VVFIN,zertret,29992,,
qd,pksn.0,929,1481,THEOBALD,theobald,ich,PPER,ich,29992,theobald,(0)
qd,pksn.0,929,1481,THEOBALD,theobald,dich,PRF,dich,29992,,
qd,pksn.0,929,1481,THEOBALD,theobald,?,$.,--,29992,,
qd,pksn.0,929,1481,THEOBALD,theobald,Um,KOUI,um,29992,,
qd,pksn.0,929,1481,THEOBALD,theobald,die,ART,der,29992,,
qd,pksn.0,929,1481,THEOBALD,theobald,schönen,ADJA,schön,29992,,
qd,pksn.0,929,1481,THEOBALD,theobald,Rosen,NN,rose,29992,,
qd,pksn.0,929,1481,THEOBALD,theobald,wärs,ADJD,wär,29992,,
qd,pksn.0,929,1481,THEOBALD,theobald,schade,ADJD,schade,29992,,
qd,pksn.0,929,1481,THEOBALD,theobald,",","$,",--,29992,,
qd,pksn.0,929,1481,THEOBALD,theobald,die,ART,der,29992,,
qd,pksn.0,929,1481,THEOBALD,theobald,sind,VAFIN,sein,29992,,
qd,pksn.0,929,1481,THEOBALD,theobald,unschuldig,ADJD,unschuldig,29992,,
qd,pksn.0,929,1481,THEOBALD,theobald,"!",$.,--,29992,,
qd,pksn.0,929,1481,THEOBALD,theobald,Oder,KON,oder,29992,,
qd,pksn.0,929,1481,THEOBALD,theobald,überreich,VVFIN,überreich,29992,,
qd,pksn.0,929,1481,THEOBALD,theobald,ich,PPER,ich,29992,theobald,(0)
qd,pksn.0,929,1481,THEOBALD,theobald,dich,PRF,dich,29992,,
qd,pksn.0,929,1481,THEOBALD,theobald,?,$.,--,29992,,
qd,pksn.0,929,1481,THEOBALD,theobald,Nein,PTKANT,nein,29992,,
qd,pksn.0,929,1481,THEOBALD,theobald,",","$,",--,29992,,
qd,pksn.0,929,1481,THEOBALD,theobald,gewiß,ADV,gewiß,29992,,
qd,pksn.0,929,1481,THEOBALD,theobald,nicht,PTKNEG,nicht,29992,,
qd,pksn.0,929,1481,THEOBALD,theobald,",","$,",--,29992,,
qd,pksn.0,929,1481,THEOBALD,theobald,und,KON,und,29992,,
qd,pksn.0,929,1481,THEOBALD,theobald,das,PDS,der,29992,,
qd,pksn.0,929,1481,THEOBALD,theobald,hätt,VVFIN,hätt,29992,,
qd,pksn.0,929,1481,THEOBALD,theobald,ich,PPER,ich,29992,theobald,(0)
qd,pksn.0,929,1481,THEOBALD,theobald,ihm,PPER,ihm,29992,,
qd,pksn.0,929,1481,THEOBALD,theobald,gleich,ADV,gleich,29992,,
qd,pksn.0,929,1481,THEOBALD,theobald,gesagt,VVPP,sagen,29992,,
qd,pksn.0,929,1481,THEOBALD,theobald,",","$,",--,29992,,
qd,pksn.0,929,1481,THEOBALD,theobald,dem,ART,der,29992,,
qd,pksn.0,929,1481,THEOBALD,theobald,Herrn,NN,herr,29992,,
qd,pksn.0,929,1481,THEOBALD,theobald,Ungetreu,ADJD,ungetreu,29992,,
qd,pksn.0,929,1481,THEOBALD,theobald,",","$,",--,29992,,
qd,pksn.0,929,1481,THEOBALD,theobald,der,PRELS,der,29992,,
qd,pksn.0,929,1481,THEOBALD,theobald,zu,PTKZU,zu,29992,,
qd,pksn.0,929,1481,THEOBALD,theobald,glauben,VVINF,glauben,29992,,
qd,pksn.0,929,1481,THEOBALD,theobald,scheint,VVFIN,scheinen,29992,,
qd,pksn.0,929,1481,THEOBALD,theobald,",","$,",--,29992,,
qd,pksn.0,929,1481,THEOBALD,theobald,daß,KOUS,daß,29992,,
qd,pksn.0,929,1481,THEOBALD,theobald,ich,PPER,ich,29992,theobald,(0)
qd,pksn.0,929,1481,THEOBALD,theobald,keine,PIAT,kein,29992,,
qd,pksn.0,929,1481,THEOBALD,theobald,Augen,NN,auge,29992,,
qd,pksn.0,929,1481,THEOBALD,theobald,habe,VAFIN,haben,29992,,
qd,pksn.0,929,1481,THEOBALD,theobald,",","$,",--,29992,,
qd,pksn.0,929,1481,THEOBALD,theobald,und,KON,und,29992,,
qd,pksn.0,929,1481,THEOBALD,theobald,kein,PIAT,kein,29992,,
qd,pksn.0,929,1481,THEOBALD,theobald,Herz,NN,herz,29992,,
qd,pksn.0,929,1481,THEOBALD,theobald,",","$,",--,29992,,
qd,pksn.0,929,1481,THEOBALD,theobald,und,KON,und,29992,,
qd,pksn.0,929,1481,THEOBALD,theobald,kein,PIAT,kein,29992,,
qd,pksn.0,929,1481,THEOBALD,theobald,Blut,NN,blut,29992,,
qd,pksn.0,929,1481,THEOBALD,theobald,",","$,",--,29992,,
qd,pksn.0,929,1481,THEOBALD,theobald,wenn,KOUS,wenn,29992,,
qd,pksn.0,929,1481,THEOBALD,theobald,–,XY,–,29992,,
qd,pksn.0,929,1481,THEOBALD,theobald,Ja,PTKANT,ja,29992,,
qd,pksn.0,929,1481,THEOBALD,theobald,",","$,",--,29992,,
qd,pksn.0,929,1481,THEOBALD,theobald,das,PDS,der,29992,,
qd,pksn.0,929,1481,THEOBALD,theobald,wars,VAFIN,wars,29992,,
qd,pksn.0,929,1481,THEOBALD,theobald,ja,ADV,ja,29992,,
qd,pksn.0,929,1481,THEOBALD,theobald,"!",$.,--,29992,,
qd,pksn.0,929,1481,THEOBALD,theobald,Ich,PPER,ich,29992,theobald,(0)
qd,pksn.0,929,1481,THEOBALD,theobald,wollte,VMFIN,wollen,29992,,
qd,pksn.0,929,1481,THEOBALD,theobald,sie,PPER,sie,29992,,
qd,pksn.0,929,1481,THEOBALD,theobald,prüfen,VVINF,prüfen,29992,,
qd,pksn.0,929,1481,THEOBALD,theobald,"!",$.,--,29992,,
qd,pksn.0,929,1481,THEOBALD,theobald,Da,ADV,da,29992,,
qd,pksn.0,929,1481,THEOBALD,theobald,kommt,VVFIN,kommen,29992,,
qd,pksn.0,929,1481,THEOBALD,theobald,sie,PPER,sie,29992,,
qd,pksn.0,929,1481,THEOBALD,theobald,"!",$.,--,29992,,
qd,pksn.0,929,1481,THEOBALD,theobald,Mit,APPR,mit,29992,,
qd,pksn.0,929,1481,THEOBALD,theobald,dem,ART,der,29992,,
qd,pksn.0,929,1481,THEOBALD,theobald,Morgensüppchen,NN,morgensüppchen,29992,,
qd,pksn.0,929,1481,THEOBALD,theobald,des,ART,der,29992,,
qd,pksn.0,929,1481,THEOBALD,theobald,Vaters,NN,vater,29992,,
qd,pksn.0,929,1481,THEOBALD,theobald,"!",$.,--,29992,,
qd,pksn.0,929,1481,THEOBALD,theobald,O,NE,O,29992,,
qd,pksn.0,929,1481,THEOBALD,theobald,",","$,",--,29992,,
qd,pksn.0,929,1481,THEOBALD,theobald,wie,PWAV,wie,29992,,
qd,pksn.0,929,1481,THEOBALD,theobald,das,PDS,der,29992,,
qd,pksn.0,929,1481,THEOBALD,theobald,schmecken,VVINF,schmecken,29992,,
qd,pksn.0,929,1481,THEOBALD,theobald,muß,VMFIN,müssen,29992,,
qd,pksn.0,929,1481,THEOBALD,theobald,"!",$.,--,29992,,
